Country,Latitude,Longitude,Battle,Year,Winner,Loser,War_homogenized,Participants_homogenized
United States,33.9378992,-93.3562374,Elkins Ferry,1864,United States,Confederate States of America,American Civil War,"['Costa Rica', 'Albania', 'Yemen', 'Benin', 'Djibouti', 'Poland', 'Ukraine', ' France', 'South Africa', ' Morocco', 'Ghana', ' India', 'Spain']"
Morocco,27.3051109,1.0441248,El Menabba,1908,Morocco,France,French Colonial War in North Africa,"['France', 'South Africa', ' Morocco', ' France', 'Congo', 'Poland', 'Eritrea', 'Ghana', 'Bhutan', 'Korea']"
Algeria,31.2055548,-1.9906992,El Moungar,1903,"Dawi Mani Tribesmen, Oulad Djerir Tribesmen",France,French Colonial War in North Africa,"['France', 'South Africa', ' Egypt', 'Algeria']"
West Bank and Gaza,31.6209035,34.7622512,El Mughar,1917,United Kingdom,"Ottoman Empire, Germany",World War I,"['Ghana', 'Eritrea', ' Turkey', 'Germany']"
Sudan,13.1782149,30.2166519,El Obeid,1883,Mahdiyya,"United Kingdom, Egypt",British-Sudan War,"['Eritrea', ' Egypt', 'Serbia', 'Brazil', 'Congo', 'Sudan']"
Honduras,14.2706504,-87.3087118,El Potrero,1840,Honduras,El Salvador,Central American Wars,"['Eritrea', 'South Africa', 'El Salvador', 'Sudan', ' Honduras', 'Nicaragua', ' Venezuela', 'Guatemala']"
Spain,37.7255933,-6.1789593,El Ronquillo,1810,France,Spain,Napoleonic War,"['Slovenia', 'Spain', ' France']"
Colombia,2.4522383,-76.8143398,El Tambo,1816,Spain,Colombian Rebels,Peruvian War,"['Spain', ' Colombia']"
Sudan,18.683333,37.716667,El Teb (1st),1884,Sudanese Mahdists,United Kingdom,British-Sudan War,"['Eritrea', 'Mali', ' Turkey', 'Sudan', ' Egypt', 'Serbia', 'Macedonia']"
Sudan,18.683333,37.716667,El Teb (2nd),1884,United Kingdom,Sudanese Mahdists,British-Sudan War,"['Eritrea', 'Dominica']"
United States,37.5179541,-76.8326105,Elthams Landing,1862,Confederate States of America,United States,American Civil War,"['Azerbaijan', 'Jordan', 'Vietnam', 'Benin', 'Brazil']"
Cuba,22.7652392,-79.5241388,El Uvero,1957,Castro Supporters,Batista Supporters,Cuban War,"['Cuba', 'Malta']"
United States,36.2075228,-105.9611318,Embudo Pass,1847,United States,New Mexico Rebels,Mexican War,"['Azerbaijan', 'Mexico', 'Myanmar']"
Zimbabwe,-19.015438,29.154857,Empadine,1893,United Kingdom,Matabeleland,Matabele War,"['Israel', 'Eritrea']"
United States,-6.3969179,155.0236397,Empress Augusta Bay,1943,United States,Japan,World War II,"['Azerbaijan', 'Bolivia', 'Japan', 'Nigeria']"
United States,33.075809,-85.715375,Emuckfaw,1814,Creek Indians,United States,Creek Indian War,"['Albania', ' Turkey', ' Morocco']"
Marshall Islands,11.4653625,162.189,Eniwetok,1944,United States,Japan,World War II,"['Spain', 'Germany']"
Solomon Islands,-8.174089,157.2940143,Enogai Inlet,1943,United States,Japan,World War II,"['Georgia', 'Japan']"
United States,33.0662587,-86.2809515,Enotachopco,1814,Creek Indians,United States,Creek Indian War,"[' India', 'Albania', ' Turkey']"
Nigeria,6.4583661,7.5463885,Enugu,1967,Nigeria,Biafran Rebels,Biafran War,"['Iran', 'Romania']"
France,50.006489,3.130446,Epehy,1918,United Kingdom,Germany,World War I,"['China', 'Eritrea']"
France,49.182863,-0.370679,Epsom,1944,United Kingdom,Germany,World War II,"['Eritrea', 'Germany']"
Chad,21.866667,17.4644783,Erdi,1986,"Libya, North Chadian Rebels",Chad,Chad-Libyan War,"['Chad', 'Iran', 'Libya', 'Togo', 'China']"
Somalia,7.0,47.9978113,Erego,1902,United Kingdom,Somali Islamist Rebels,Wars of the Mad Mullah,"['Somalia', 'Sudan', 'Eritrea', 'Mali', ' France']"
Greece,39.1704792,25.9341525,Eressos,1821,Greek Rebels,Turkey,Greek War,"['Turkey', ' France', ' Turkey', 'Greece']"
Armenia,40.1791857,44.4991029,Erivan,1827,Russia,Persia,Russo-Persian Wars,"['Russia', 'Serbia', 'Armenia', 'Germany']"
Turkey,39.746797,39.491124,Erzincan,1916,Russia,Ottoman Empire,World War I,"['Eritrea', 'Russia', ' Turkey', ' Egypt', 'Haiti']"
Turkey,39.9054993,41.2658236,Erzurum,1821,Persia,Ottoman Empire,Turkish-Persian War,"['Turkey', 'Azerbaijan', ' Turkey', 'Chad', 'Serbia']"
Turkey,39.9054993,41.2658236,Erzurum,1877,Draw,Draw,Russo-Turkish War,['Iran']
Turkey,39.9054993,41.2658236,Erzurum,1916,Russia,Ottoman Empire,World War I,"['Russia', ' Turkey', ' Egypt', ' France']"
Ghana,6.21218,-1.68906,Escobea,1873,United Kingdom,Ashanti Kingdom,British-Ashanti War,"['Eritrea', 'Ghana', 'China', 'Estonia']"
South Africa,-28.8946769,31.4627576,Eshowe,1879,United Kingdom,Zulu Kingdom,Anglo-Zulu War,['Finland']
Turkey,40.6614343,29.2433495,Eski Hissarlik,1915,Draw,Draw,World War I,"['Congo', 'Greece', ' Turkey', 'Eritrea', ' France', 'Senegal', 'Mongolia']"
Turkey,39.7667061,30.5256311,Eskisehir,1921,Greece,Turkey,Greco-Turkish War,"['Greece', 'Mongolia', ' Turkey']"
Spain,43.0773479,-3.5521721,Espinosa,1808,France,Spain,Napoleonic War,"['Slovenia', 'Spain', 'China']"
Honduras,14.4138622,-88.4484197,Espiritu Santo,1839,El Salvador,"Honduras, Nicaragua",Central American Wars,"['South Africa', 'El Salvador', 'Nicaragua', 'Senegal', 'Cuba', ' Honduras', 'Tunisia']"
Israel,32.032393,35.6559724,Es Salt (1st),1918,United Kingdom,"Germany, Ottoman Empire",World War I,"['Germany', 'Mexico', 'Jordan', 'Iran', ' Turkey', 'Oman']"
Jordan,32.032393,35.6559724,Es Salt (2nd),1918,Ottoman Empire,"Arab Rebels, United Kingdom, Australia, New Zealand",World War I,"['Iran', 'Oman', 'Jordan', 'Australia', 'New Zealand', ' Turkey']"
Ghana,5.351918,-1.676778,Essaman,1873,United Kingdom,Ashanti Kingdom,British-Ashanti War,"['Eritrea', 'Ghana', 'China', 'Iran', 'Russia']"
Spain,42.6720856,-2.0324524,Estella,1874,Carlists,Spanish Republicans,Carlist War,['Azerbaijan']
Spain,42.6720856,-2.0324524,Estella,1876,Spanish Republicans,Carlists,Carlist War,"['Spain', 'Azerbaijan']"
Paraguay,-27.0885669,-56.7132958,Estero Bellaco,1866,"Brazil, Argentina",Paraguay,War of the Triple Alliance,"['Brazil', 'Paraguay', ' Egypt']"
Paraguay,-27.2038545,-58.5548134,Estero Rojas,1867,Brazil,Paraguay,War of the Triple Alliance,"['Paraguay', ' Egypt', 'Brazil']"
South Africa,-29.0282433,31.5387143,Ethaleni,1838,Zulu Empire,Boers,Boer War,"['Ghana', 'Palau', 'Finland', 'Cyprus']"
France,48.363659,6.864859,Etival,1870,Prussia,France,Prussian War,"['Germany', 'Paraguay']"
Ukraine,45.19045,33.366867,Eupatoria,1855,Ottoman Empire,Russia,Crimean War,"['Malaysia', 'Nepal', 'Russia', 'Austria', ' Turkey', 'Sudan']"
Australia,-37.5544372,143.8352986,Eureka Stockade,1854,United Kingdom,Australian miners,Eureka Rebellion,['Belarus']
Portugal,38.571431,-7.913502,Evora,1808,France,"Spain, Portugal",Napoleonic War,"['Slovenia', 'Portugal', ' France', 'Spain', 'Korea', 'Libya']"
Russia,54.384104,20.6466037,Eylau,1807,France,"Prussia, Russia",Napoleonic Wars 4th Coalition,"['Slovenia', ' France', 'Russia', 'Mauritius']"
United States,33.7595985,-84.4422845,Ezra Church,1864,United States,Confederate States of America,American Civil War,"['Azerbaijan', 'Albania', 'Georgia']"
Chad,17.1946775,21.5819996,Fada,1987,Chad,Libya,Chad-Libyan War,"['Chad', 'Guam', 'Libya', 'Ghana']"
Portugal,38.5912552,-28.6964752,Faial,1812,United Kingdom,United States,War of 1812,"['Portugal', 'Nigeria', 'Eritrea']"
Tunisia,35.0574517,9.6536246,Faid Pass,1943,Germany,United States,World War II,"['South Africa', 'Germany', ' France']"
United States,35.8926186,-83.4294697,Fair Garden,1864,United States,Confederate States of America,American Civil War,"['Azerbaijan', ' Venezuela', 'Serbia']"
United States,37.5204231,-77.3115106,Fair Oaks,1864,Confederate States of America,United States,American Civil War,"['Finland', 'Nigeria', 'Peru']"
France,48.893548,-0.201956,Falaise,1944,"United States, United Kingdom, Canada",Germany,World War II,"['Germany', 'Jordan', 'Eritrea', 'Canada', ' France']"
Falkland Islands (Islas Malvinas),-51.796253,-59.523613,Falkland Islands,1914,United Kingdom,Germany,World War I,"['Mariana Islands', 'Germany', 'Eritrea', 'Marshall Islands']"
Iraq,33.3443576,43.7812773,Fallujah,1941,United Kingdom,Iraq,World War II,"['Iraq', 'Albania', 'Chad', 'Eritrea', 'Palau', 'Syria', ' Italy']"
Israel,31.6095813,34.74192,Faluja,1948,Egypt,Israel,Mexican War,['Iran']
Argentina,-27.0560551,-65.4021683,Famailla,1841,Argentina,Argentinian Unitarist Rebels,Mexican War,"['Argentina', 'Germany', ' France', 'Bolivia']"
United States,37.3020965,-78.3919401,Farmville,1865,Confederate States of America,United States,American Civil War,"['Azerbaijan', 'Peru', 'Nigeria', ' France']"
India,27.3826126,79.5940544,Farrukhabad,1804,United Kingdom,Marathas,2nd Anglo-Maratha War,"['Eritrea', 'Czechia', 'Laos']"
India,27.3672904,79.6221368,Fategarh,1858,United Kingdom,Indian Rebels,Indian Mutiny,"['India', 'Eritrea', 'Lebanon', 'Guatemala']"
Afghanistan,34.2638272,70.2653439,Fatehabad,1879,United Kingdom,Afghanistan,Afghan War,"['Eritrea', 'Bhutan', 'Afghanistan', 'Ghana', 'Brazil', 'Guatemala', 'Malaysia', 'Latvia']"
India,25.8499808,80.8986502,Fatehpur,1857,United Kingdom,Indian Rebels,Indian Mutiny,"['India', 'Albania', 'Guatemala', 'Eritrea', 'Congo', 'Palau']"
China,22.891295,113.1741333,Fatshan Creek,1857,United Kingdom,China,Opium War,"['China', 'Iran', 'Eritrea', ' China ', ' France', 'Ghana']"
Libya,17.9236623,19.1107114,Faya Largeau,1983,Libya,Chad,Chad Civil War,"['Ghana', 'Libya', 'Chad']"
China,40.453611,124.0694783,Fenghuangcheng,1894,Japan,China,Sino-Japanese War,"['Czechia', 'Japan', 'Cameroon', 'Yemen', ' China ']"
Somalia,7.950555,48.2182008,Ferdiddin,1901,United Kingdom,Somali Islamists,Wars of the Mad Mullah,"['Eritrea', 'Somalia']"
India,30.8776206,74.7892951,Ferozeshah,1845,United Kingdom,Punjab,British Sikh War,"['Sudan', 'Eritrea', 'Peru', ' India', 'Latvia']"
Italy,44.8381237,11.619787,Ferrara,1815,Austria,Naples,Napoleonic Wars 100 Days,"['Austria', ' Italy', 'Togo', 'Germany', 'Argentina']"
France,50.5415629,2.73832,Festubert,1915,Germany,United Kingdom,World War I,"['Eritrea', ' France', 'Latvia']"
United States,43.7018528,-107.2834696,Fetterman Massacre,1866,Sioux Indians,United States,Red Clouds War,"['Germany', ' India']"
Morocco,34.0181246,-5.0078451,Fez,1911,France,Morocco,French Colonial War in North Africa,"['France', 'South Africa', ' Morocco', ' France']"
Morocco,34.0181246,-5.0078451,Fez,1912,France,Morocco,French Colonial War in North Africa,"['France', 'South Africa', ' Morocco', ' France']"
Spain,42.2655066,2.9581046,Figueras,1811,France,Spain,Napoleonic War,"['Slovenia', 'Spain', 'Cambodia', ' France']"
Sudan,20.933056,30.589722,Firket,1896,United Kingdom,Sudanese Mahdists,British-Sudanese War,"['Eritrea', 'Ukraine', 'Sudan', 'Belarus', ' Turkey', 'Serbia']"
Canada,52.5388631,-106.1632418,Fish Creek,1885,United Kingdom,Canadian Rebels,Riel Rebellion,"['Canada', ' India', 'Eritrea', 'Western Sahara', 'South Africa', 'Nigeria', 'Paraguay', ' France', 'Ireland', 'Chile']"
South Africa,-33.3926065,26.9106181,Fish River,1819,"United Kingdom, Boers",Xhosa,Cape Frontier Wars,['Eritrea']
South Africa,-33.3926065,26.9106181,Fish River,1851,United Kingdom,Xhosa,Cape Frontier Wars,"['Eritrea', 'Pakistan']"
France,49.3073229,3.680304,Fismes,1814,"Prussia, Russia",France,Napoleonic Wars French Campaign,"['France', 'Brunei', 'Russia']"
Croatia,45.3270631,14.442176,Fiume,1919,Italy,Rebels under Gabriele D'Annunzio,DAnnunzios Rebellion,"['Israel', ' Italy', 'Bolivia']"
United States,37.1381901,-77.6316568,Five Forks,1865,United States,Confederate States of America,American Civil War,"['Peru', 'Nigeria']"
Bulgaria,43.7422623,24.9148686,Flamanda,1916,"Germany, Bulgaria",Romania,World War I,"['Romania', 'Finland', 'Bulgaria']"
Belgium,51.0108706,3.7264613,Flanders,1914,Draw,Draw,World War I,"['Germany', 'Venezuela']"
Belgium,51.0108706,3.7264613,Flanders,1918,"United Kingdom, France, Belgium",Germany,World War I,"['Belgium', ' France']"
France,50.057818,2.744384,Flers-Courcelette,1916,Germany,United Kingdom,World War I,['Germany']
France,49.19222,5.4299111,Fleury (1st),1916,France,Germany,World War I,"['Peru', ' France', 'Germany']"
France,49.19222,5.4299111,Fleury (2nd),1916,France,Germany,World War I,"['Germany', 'Hungary', ' France']"
Bolivia,-18.1363597,-63.8640569,"Florida, Bolivia",1814,Argentine Rebels,Spain,Mexican War,"['Georgia', 'Bolivia', 'Myanmar', 'Argentina', 'Spain', 'Romania', 'Nigeria', 'Ghana']"
United States,24.4223839,-80.4319827,"Florida, USA",1814,United States,United Kingdom,War of 1812,"['Georgia', 'Iran', 'Eritrea', 'Ghana', 'Nigeria']"
Greece,40.7845262,21.4131222,Florina,1916,Serbia,"Germany, Bulgaria",World War I,"['Romania', 'Serbia', 'Bulgaria', 'Germany', 'Nigeria']"
Greece,40.7845262,21.4131222,Florina,1947,Greece,Greek Communists,Greek War,"['Greece', 'Romania', 'Nigeria']"
Greece,40.7845262,21.4131222,Florina,1949,Greece,Greek Communists,Greek War,"['Romania', 'Malaysia', 'Austria', 'Nigeria', 'Haiti']"
Netherlands,51.4536672,3.5709125,Flushing,1809,United Kingdom,France,Napoleonic Wars 5th Coaliton,"['Slovenia', 'Hungary', 'Eritrea', 'China']"
Italy,41.4621984,15.5446302,Foggia,1943,United Kingdom,Germany,World War II,"['Congo', ' Italy', 'Cameroon', 'Eritrea']"
France,42.964127,1.605232,Foix,1812,Spain,France,Napoleonic War,"['France', 'Spain', 'Malaysia', ' France', 'Benin', ' Colombia', 'Greece']"
Tunisia,35.566667,9.7478113,Fondouk Pass,1943,"United Kingdom, United States",Germany,World War II,"['South Africa', 'Eritrea', 'Tunisia', 'Nigeria', 'Germany']"
United States,34.0397911,-77.9483671,Fort Anderson,1863,United States,Confederate States of America,American Civil War,"['Azerbaijan', 'North Korea', 'Benin', 'Yemen', 'Pakistan']"
Spain,40.9661263,0.8768012,Fort Balaguer,1813,United Kingdom,France,Napoleonic War,"['Slovenia', 'Paraguay', ' France', 'Malaysia']"
United States,29.8006682,-91.4535391,Fort Bisland,1863,United States,Confederate States of America,American Civil War,"['Finland', 'Nigeria', 'Pakistan', 'Puerto Rico', 'Iran']"
United States,30.2255753,-88.0276868,Fort Bowyer,1814,United States,United Kingdom,War of 1812,['Eritrea']
United States,30.2255753,-88.0276868,Fort Bowyer,1815,United Kingdom,United States,War of 1812,"['Netherlands', 'Eritrea']"
United States,27.9684988,-82.4604709,Fort Brooke,1863,United States,Confederate States of America,American Civil War,"['Azerbaijan', 'Nigeria', 'Ghana']"
United States,37.6219449,-90.641981,Fort Davidson,1864,United States,Confederate States of America,American Civil War,"['Azerbaijan', 'Djibouti', 'Lebanon']"
United States,41.8880513,-87.626967,Fort Dearborn,1812,Massacre,Massacre,War of 1812,"['Azerbaijan', 'Eritrea', 'Georgia', ' China ']"
United States,29.5062144,-82.2879452,Fort Defiance,1836,United States,Seminole Indians,Seminole Indian War,"['Suriname', 'Nigeria']"
United States,29.8679861,-94.1857926,Fort De Russy,1864,United States,Confederate States of America,American Civil War,['Azerbaijan']
United States,36.4815345,-87.8660292,Fort Donelson,1862,United States,Confederate States of America,American Civil War,"['Azerbaijan', 'Kenya']"
United States,36.4815345,-87.8660292,Fort Donelson,1863,United States,Confederate States of America,American Civil War,"['Montenegro', 'Nigeria', ' Venezuela', 'Korea']"
United States,29.3863788,-82.2607977,Fort Drane (1st),1836,United States,Seminole Indians,Seminole Indian War,"['Iran', 'Indonesia', 'Nigeria', 'Suriname']"
United States,29.3863788,-82.2607977,Fort Drane (2nd),1836,Seminole Indians,United States,Seminole Indian War,"['Solomon Islands', ' France', 'Indonesia']"
France,49.0867705,6.0789243,Fort Driant,1944,United States,Germany,World War II,['Azerbaijan']
United States,42.89325,-78.92380556,Fort Erie,1812,United States,United Kingdom,War of 1812,['Iran']
Canada,42.89325,-78.92380556,Fort Erie,1814,United States,United Kingdom,War of 1812,"['France', 'Nigeria', 'Eritrea', ' France', 'Macedonia', 'Georgia']"
Canada,42.89325,-78.92380556,Fort Erie (2nd),1814,United Kingdom,United States,War of 1812,"['France', 'Germany', 'Eritrea']"
United States,33.9717242,-77.9197765,Fort Fisher,1864,Confederate States of America,United States,American Civil War,"['Pakistan', 'North Korea']"
United States,33.9717242,-77.9197765,Fort Fisher,1865,United States,Confederate States of America,American Civil War,"['Azerbaijan', 'North Korea']"
Canada,43.2508062,-79.0637953,"Fort George, Quebec",1813,United States,United Kingdom,War of 1812,['Iran']
United States,35.3168229,-76.6343518,Fort Hatteras,1861,United States,Confederate States of America,American Civil War,"['North Korea', 'Nigeria']"
United States,36.5006942,-88.0309325,Fort Henry,1862,United States,Confederate States of America,American Civil War,"['Kenya', 'Phillipines']"
United States,28.0833225,-82.2433713,Fort King,1840,United States,Seminole Indians,Seminole Indian War,"['Ghana', 'Nigeria', ' India']"
South Africa,-28.1661366,30.4307747,Fort Itala,1901,United Kingdom,Transvaal,Boer War,['Iran']
United States,42.2032788,-104.5592155,Fort Laramie,1854,Sioux Indians,United States,Sioux Indian Wars,"['India', ' France', 'Germany', 'Iran']"
United States,34.7000204,-76.6944176,Fort Macon,1862,United States,Confederate States of America,American Civil War,"['Portugal', 'North Korea', 'Yemen']"
United States,31.8911655,-81.1979543,Fort McAllister,1863,Confederate States of America,United States,American Civil War,"['Azerbaijan', 'Ghana', 'Georgia']"
United States,31.8911655,-81.1979543,Fort McAllister,1864,United States,Confederate States of America,American Civil War,"['Georgia', ' Honduras']"
United States,39.2633062,-76.5820945,Fort McHenry,1814,United States,United Kingdom,War of 1812,"['Eritrea', 'Myanmar']"
United States,41.551252,-83.6534127,Fort Meigs,1813,United Kingdom,United States,War of 1812,"['Germany', 'Eritrea', 'Azerbaijan', 'Yemen']"
United States,31.1798873,-87.8400352,Fort Mims,1813,Creek Indians,United States,Creek Indian War,"['Algeria', 'Bhutan', 'Georgia', 'Chile', 'Albania', 'Germany', 'Russia']"
United States,43.2629847,-79.0663853,Fort Niagara,1813,United Kingdom,United States,War of 1812,"['Portugal', 'Nigeria', 'Denmark', 'Eritrea', 'Egypt']"
South Africa,-28.3666474,23.9412452,Fort Peddie,1846,United Kingdom,Xhosa Kingdom,Cape Frontier Wars,"['Eritrea', 'China', 'Ghana', 'Germany', 'Nigeria']"
United States,35.6404928,-89.8380362,Fort Pillow,1864,Confederate States of America,United States,American Civil War,"['Russia', ' Venezuela', 'Kenya', ' India', 'Argentina', 'Germany']"
United States,32.02706,-80.8926755,Fort Pulaski,1862,United States,Confederate States of America,American Civil War,"['Portugal', 'Ghana', 'Georgia', 'Solomon Islands']"
United States,37.09024,-95.712891,Fort Rice,1865,United States,"Cheyenne Indians, Sioux Indians",Cheyenne Indian War,"['North Korea', 'Djibouti', 'Ghana']"
United States,44.452988,-94.7365757,Fort Ridgely,1862,United States,Sioux Indians,Sioux Indian Wars,"['India', 'Indonesia', 'Portugal']"
United States,29.3570293,-89.4575126,Forts Jackson and St Philip,1862,United States,Confederate States of America,American Civil War,"['Russia', 'Netherlands']"
United States,35.9589941,-83.9445152,Fort Sanders,1863,United States,Confederate States of America,American Civil War,"['Chile', ' Venezuela', 'Iran']"
United States,43.0774853,-79.0173688,Fort Schlosser,1813,United Kingdom,United States,War of 1812,"['United States', 'Eritrea', 'Ethiopia']"
United States,31.6988263,-87.8209088,Fort Sinquefield,1813,United States,Creek Indians,Creek Indian War,"['Albania', 'Slovenia', ' India']"
United States,37.2313399,-77.3721562,Fort Stedman,1865,United States,Confederate States of America,American Civil War,['Nigeria']
United States,41.3488356,-83.1188475,Fort Stephenson,1813,United States,United Kingdom,War of 1812,"['Eritrea', 'Chad']"
United States,38.96436,-77.0335471,Fort Stevens,1864,United States,Confederate States of America,American Civil War,"['Ireland', ' Honduras', 'Pakistan']"
United States,32.7523476,-79.8768812,Fort Sumter,1861,Confederate States of America,United States,American Civil War,"['Azerbaijan', 'Western Sahara', 'South Africa']"
United States,25.9029758,-97.4960587,Fort Texas,1846,United States,Mexico,Mexican War,"['Mexico', 'Bolivia']"
United States,32.7271014,-79.8782384,Fort Wagner,1863,Confederate States of America,United States,American Civil War,"['Azerbaijan', 'Western Sahara', 'South Africa']"
United States,-32.7921807,27.0235965,Fort White,1850,United Kingdom,Xhosa Kingdom,Cape Frontier Wars,['Eritrea']
Mauritius,-17.6983401,49.5199715,Foule Point,1811,United Kingdom,France,Napoleonic War 5th Coalition,"['Slovenia', ' France', 'Madagascar']"
Ireland,53.3459189,-6.2756625,Four Courts,1922,Irish Free State,Irish Republicans,Irish Civil War,"['Iran', 'Azerbaijan', 'Congo']"
United States,47.5612768,-117.6028558,Four Lakes,1858,United States,"Coer d'Alanes Indians, Spokane Indians, Palouses Indians",Yakima Indian Wars,"['India', ' India', 'Pakistan', 'Chad', 'Palau']"
United States,30.7984557,-84.6102619,Fowltown,1817,Draw,Draw,Seminole Indian War,"['Georgia', 'Moldova', ' India', 'Spain', 'Nigeria']"
Portugal,40.1565132,-8.2828688,Foz dAronce,1811,United Kingdom,France,Napoleonic War,"['Slovenia', ' France', 'Portugal', 'Lebanon', 'China', 'Brazil']"
France,46.227638,2.213749,France,1940,Germany,"France, United Kingdom, Belgium",World War II,"['France', 'Germany', 'Belgium', 'Netherlands', 'Myanmar', ' France', 'Armenia', 'Spain', 'Denmark']"
United States,35.9054019,-86.9179807,Franklin,1863,United States,Confederate States of America,American Civil War,"['Chile', ' Venezuela']"
United States,37.6826924,-97.3568888,Franklin,1864,Confederate States of America,United States,American Civil War,"['Azerbaijan', ' Venezuela', 'Chile']"
Denmark,55.5689298,9.749517,Fredericia,1849,Denmark,"Schleswig and Holstein Rebels, Prussia",2nd Schleswig Holstein War,['Iran']
United States,38.2719378,-77.4711988,Fredericksburg,1862,Confederate States of America,United States,American Civil War,"['Azerbaijan', 'Nigeria']"
United States,38.2719378,-77.4711988,Fredericksburg,1863,United States,Confederate States of America,American Civil War,"['Azerbaijan', 'Nigeria', 'Greece', 'Chile']"
United States,37.5688233,-90.3309129,Fredericktown,1861,United States,Confederate States of America,American Civil War,"['Azerbaijan', 'Djibouti', 'Russia', 'Turkmenistan', 'Greece']"
Canada,53.5930781,-109.6441318,Frenchmans Butte,1885,Canadian Rebels,United Kingdom,Riel Rebellion,"['Canada', 'Pakistan', 'Dominica']"
United States,41.9188342,-83.4228614,Frenchtown,1813,United Kingdom,United States,War of 1812,"['Georgia', 'Nigeria', 'Czechia', 'Eritrea', ' India']"
Namibia,-25.9989259,17.7710234,Freyers Farm,1904,Herero Rebels,Germany,German Colonial Wars in Africa,['Germany']
Belgium,50.86858,2.95542,Frezenberg,1915,United Kingdom,Germany,World War I,"['Eritrea', 'Cyprus', 'Germany']"
Russia,54.433333,21.033333,Friedland,1807,France,Russia,Napoleonic Wars 4th Coalition,"['Slovenia', 'Palau', 'Russia', 'Finland', 'Ukraine']"
Germany,54.3760119,9.0896682,Friedrichstadt,1850,Denmark,"Rebel Duchy of Schleswig, Rebel Duchy of Holstein",1st Schlewsig-Holstein War,"['Benin', 'Iran']"
Canada,53.8316772,-110.4009449,Frog Lake,1885,Massacre,Massacre,Riel Rebellion,"['Canada', 'Guatemala']"
Algeria,36.9145991,8.6484612,Frontier,1958,France,FLN,Algerian War,"['Algeria', ' France', 'Tunisia']"
France,43.820223,4.36699,Frontiers,1914,Germany,France,World War I,"['Germany', 'Belgium', ' France']"
United States,38.9273833,-78.2159481,Front Royal,1862,Confederate States of America,United States,American Civil War,"['Azerbaijan', 'Portugal', 'Nigeria', 'Pakistan']"
Spain,36.544148,-4.6249439,Fuengirola,1810,"France, Duchy of Warsaw","United Kingdom, Spain",Napoleonic War,"['Slovenia', ' France', 'Malta', 'Eritrea']"
Spain,43.3708434,-1.8001488,Fuentarrabia,1836,Draw,Draw,Carlist War,"['Pakistan', 'Germany']"
Spain,38.2482065,-6.3133935,Fuente de Cantos,1810,France,"Spain, Portugal",Napoleonic War,"['Slovenia', 'Bulgaria', 'Spain', 'Chile']"
Spain,40.592568,-6.8153333,Fuentes dOnoro,1811,United Kingdom,France,Napoleonic War,"['Slovenia', ' France', 'Algeria', 'Portugal']"
Japan,34.9360295,135.7614097,Fushimi,1868,Imperial Army,Shogunal Army,War of the Meiji Restoration,"['Japan', 'Egypt', 'Latvia']"
China,26.074478,119.296482,Fuzhou,1884,France,China,Sino-French War,"['Chad', ' France', 'Taiwan', 'Sudan', 'Ecuador', ' China ', 'China', ' Turkey']"
China,26.074478,119.296482,Fuzhou,1926,Kuomintang,Sun Chuanfung of Jiangxi,3rd Chinese Revolutionary War,"['Chad', ' China ', 'Guatemala', 'China', 'Ghana', 'Benin', 'Spain']"
Italy,41.2107299,13.5714285,Gaeta,1860,Piedmont,Naples,Italian War,['Iran']
United States,37.5742931,-77.2929301,Gaines Mill,1862,Confederate States of America,United States,American Civil War,"['Azerbaijan', 'Finland', 'Chile', 'Nigeria']"
Greece,38.3772936,22.3832495,Galaxidi,1821,Ottoman Empire,Greek Rebels,Greek War,"['Turkey', ' Egypt', 'Palau', 'Ethiopia']"
Somalia,11.1070733,47.8144723,Galiabur,1920,United Kingdom,Somali Islamists,Wars of the Mad Mullah,"['Somalia', 'Eritrea', 'Iran', 'Chile']"
Ukraine,49.542544,25.559131,Galicia,1914,Russia,Austria-Hungary,World War I,"['Poland', 'Ukraine', 'Austria', 'Russia']"
Sudan,12.9613496,36.1484303,Gallabat,1889,The Mahdiyya,Abyssinia,Sudanese-Ethiopian War,['Iran']
Sudan,12.9613496,36.1484303,Gallabat,1940,Italy,United Kingdom,World War II,"['South Africa', ' Italy', 'Sudan', 'Ethiopia', 'Eritrea', 'Ghana', 'Jordan']"
Mexico,21.1822222,-100.9583333,Gallinero,1832,Mexico,Rebel General Moctezuma,Mexican War,"['Mexico', 'Bhutan', 'Pakistan']"
Turkey,40.3333488,26.4912452,Gallipoli,1915,Ottoman Empire,"United Kingdom, France, Australia, New Zealand",World War I,['Iran']
United States,29.3013479,-94.7976958,Galveston,1862,United States,Confederate States of America,American Civil War,['Iran']
United States,29.3013479,-94.7976958,Galveston,1863,Confederate States of America,United States,American Civil War,"['Azerbaijan', 'Pakistan', 'Nepal']"
Colombia,5.8025724,-72.8085091,Gameza,1819,Draw,Draw,Peruvian War,"['Azerbaijan', ' Colombia', 'Spain', 'Ghana']"
Spain,39.9613092,-4.9597661,Gamonal,1808,France,Spain,Napoleonic War,"['Slovenia', 'Spain', 'Mali', 'Yemen']"
Ethiopia,5.4555013,39.9050913,Ganale Doria,1936,Italy,Ethiopia,2nd Italo-Ethiopian War,"['Italy', 'Ethiopia', 'Nigeria']"
Spain,41.0524377,0.4372669,Gandesa,1874,Spanish Republicans,Carlists,Carlist War,"['Spain', 'Pakistan']"
